Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2007,"Russ Johnson","Pirates (AA)",34,13,44,53,9,4,2,0,3,8,5,7,1,6,1,1,0,2,2,0,0.204545454,"1216"
2007,"Russ Johnson","Pirates (AAA)",34,93,316,361,85,59,18,2,6,36,45,39,0,31,1,3,2,8,3,4,0.268987341,"1216"
2007,"Tom Martin","Rockies (AAA)",37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1219"
2007,"Travis Phelps","Astros (AAA)",29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1221"
2007,"Travis Phelps","Astros (AA)",29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1221"
2007,"Jared Sandberg","Royals (AA)",29,18,68,78,7,6,0,0,1,5,2,9,0,20,1,0,0,1,0,0,0.102941176,"1224"
2007,"Jason Smith","Diamondbacks (A+)",29,3,9,12,4,3,0,0,1,4,5,2,0,1,1,0,0,0,0,0,0.444444444,"1227"
2007,"Jason Smith","Diamondbacks (AAA)",29,14,54,57,17,10,3,1,3,9,10,0,0,17,1,2,0,1,0,2,0.314814814,"1227"
2007,"Jorge Sosa","Mets (AAA)",30,4,8,9,1,1,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0.125,"1228"
2007,"Tanyon Sturtze","Braves (AA)",36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1230"
2007,"Tanyon Sturtze","Braves (AAA)",36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1230"
2007,"Victor Zambrano","Pirates (AAA)",31,3,5,5,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.2,"1237"
2007,"Tony Batista","Nationals (AAA)",33,30,107,120,31,17,7,1,6,14,22,8,0,16,3,2,0,3,1,0,0.289719626,"124"
2007,"Hector Carrasco","Nationals (AAA)",37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1240"
2007,"Frank Catalanotto","Rangers (AAA)",33,4,13,16,5,3,2,0,0,5,0,2,0,1,1,0,0,0,0,0,0.384615384,"1241"
2007,"Frank Catalanotto","Rangers (AA)",33,1,4,5,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,"1241"
2007,"R.A. Dickey","Brewers (AAA)",32,23,36,43,4,3,1,0,0,2,3,1,0,6,0,0,6,2,1,0,0.111111111,"1245"
2007,"Matt Bush","Padres (A+)",21,29,98,116,20,16,2,1,1,8,17,16,0,21,0,2,0,3,1,0,0.204081632,"1246"
2007,"Rick Bauer","Dodgers (AAA)",30,17,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,"125"
2007,"Rick Bauer","Phillies (AAA)",30,8,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"125"
2007,"Dan Kolb","Pirates (AAA)",32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1257"
2007,"Ryan Ludwick","Cardinals (AAA)",28,29,106,121,36,20,8,0,8,27,36,10,1,20,0,5,0,2,1,1,0.339622641,"1260"
2007,"Chan Ho Park","Astros (AAA)",34,12,18,22,3,3,0,0,0,1,2,1,0,9,0,0,3,0,0,0,0.166666666,"1267"
2007,"Chan Ho Park","Mets (AAA)",34,6,11,13,4,3,1,0,0,1,1,0,0,3,1,0,1,0,0,0,0.363636363,"1267"
2007,"Larry Bigbie","Dodgers (AAA)",29,34,126,146,44,28,12,1,3,22,14,18,1,24,0,0,2,3,1,0,0.349206349,"128"
2007,"Larry Bigbie","Braves (AAA)",29,59,186,208,47,32,11,2,2,28,24,20,1,38,0,2,0,8,5,0,0.252688172,"128"
2007,"Mark Teixeira","Rangers (AA)",27,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"1281"
2007,"Brian Bowles","Giants (AAA)",30,5,5,6,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.2,"1290"
2007,"Scott Cassidy","Padres (AAA)",31,23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1293"
2007,"Jose Cruz","Yankees (AAA)",33,16,62,71,17,12,4,0,1,12,7,9,2,12,0,0,0,0,3,0,0.274193548,"1296"
2007,"Ken Huckaby","Dodgers (AAA)",36,68,237,251,65,59,5,0,1,14,29,10,0,52,2,0,2,8,0,0,0.274261603,"1306"
2007,"Justin Miller","Marlins (AAA)",29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1313"
2007,"Chad Mottola","Blue Jays (AAA)",35,106,405,444,108,64,24,3,17,71,56,33,2,78,3,3,0,9,6,1,0.266666666,"1315"
2007,"Pedro Swann","Phillies (AAA)",36,72,238,262,60,40,14,1,5,29,22,17,2,54,2,3,2,8,2,2,0.25210084,"1323"
2007,"Pedro Swann","Phillies (AA)",36,21,70,80,17,11,4,0,2,6,13,9,1,17,0,1,0,4,2,3,0.242857142,"1323"
2007,"Corey Thurman","Brewers (AA)",28,18,12,13,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.083333333,"1324"
2007,"Jayson Werth","Phillies (A+)",28,4,13,15,1,1,0,0,0,3,0,2,0,4,0,0,0,1,0,0,0.076923076,"1327"
2007,"Travis Driskill","Astros (AAA)",35,33,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"134"
2007,"Greg Norton","Devil Rays (AA)",34,7,25,31,7,5,2,0,0,2,4,5,0,4,1,0,0,4,0,0,0.28,"1388"
2007,"Jason Lane","Astros (AAA)",30,50,185,214,59,35,15,0,9,37,41,23,1,26,2,4,0,4,2,1,0.318918918,"1397"
2007,"Brady Clark","Padres (AAA)",34,14,59,67,20,14,6,0,0,12,8,5,0,11,3,0,0,1,1,0,0.33898305,"1398"
2007,"Brady Clark","Red Sox (AAA)",34,5,19,24,5,2,2,0,1,2,3,3,0,1,1,1,0,0,0,1,0.263157894,"1398"
