Company Name,Ownership Type,Holding Company Name,State,City,Website,Planning Area Name,Balancing Authority Area Name,Membership Name,Overlap,Area (sq mi),Location Code,Source,Population 2000,Number Of Households,Median Household Income,Household Aggregate Income,Per Capita Income,Layer_ID,Rec_ID,Bundled Residential Customers,Bundled Industrial Customers,Bundled Commercial Customers,Bundled Total Customers,Total Customers Ranges,Color_Code,Distribution Line Miles,Population 2010
Cavalier Rural Electric Coop Inc,DistCoop,Cavalier Rural Electric Coop Inc,ND,Langdon,,Minnkota Power Coop,Midcontinent ISO (Balancing Authority),Minnkota Power Coop,F,1567.926224,3,Company Maps; ABB Research,3136.378829,1425.363889,-99.9,-99.9,-99.9,81,351,1390,26,74,1490,"0 to 3,000",4,-99.9,2471.470931
Cawker City KS (City of),Muni,Cawker City KS (City of),KS,Cawker City,http://skyways.lib.ks.us/towns/Cawker,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.987917519,4,Previously Mapped Features; ABB Research,585,2.336098996,-99.9,-99.9,-99.9,81,1833,365,0,27,392,0 to 700,1,-99.9,3.989338285
Cedar Falls Utilities,Muni,Cedar Falls Utilities,IA,Cedar Falls,www.cfunet.net,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,111.3537136,4,Previously Mapped Features; ABB Research,40365.00304,17892.67965,-99.9,-99.9,-99.9,81,1370,17216,250,2136,19602,"3,000 to 100,000",1,-99.9,45103.31266
Cedar Knox Public Power District,PSubdiv,Cedar Knox Public Power District,NE,Hartington,www.cedarknoxppd.com,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Nebraska Electric G & T Coop Inc,F,1186.030539,3,Company Maps; ABB Research,13629.48547,6267.48986,-99.9,-99.9,-99.9,81,1000,5487,1222,726,7435,"3,000 to 100,000",3,-99.9,12945.99196
Cedarburg Light & Water Commission,Muni,Cedarburg Light & Water Commission,WI,Cedarburg,www.cedarburglightandwater.com,WPPI Energy,Midcontinent ISO (Balancing Authority),Not Applicable,F,3.714077645,3,ABB Research,8540.027633,3784.454334,-99.9,-99.9,-99.9,81,2350,5381,2,913,6296,"3,000 to 100,000",1,-99.9,8764.432321
Celina OH (City of),Muni,Celina OH (City of),OH,Celina,www.ci.celina.oh.us/Utilities/utilities.htm,PJM Interconnection,PJM Interconnection,American Municipal Power Inc,F,4.364941916,3,ABB Research,10615,851.6121225,-99.9,-99.9,-99.9,81,2510,6853,10,861,7724,"3,000 to 100,000",1,-99.9,1864.789442
Center Municipal Light & Power,Muni,Center Municipal Light & Power,CO,Center,,Public Service Co of Colorado,Public Service Co of Colorado,Not Applicable,F,0.759372658,4,Previously Mapped Features; ABB Research,2354,2.670543286,-99.9,-99.9,-99.9,81,1732,718,43,180,941,"0 to 3,000",1,-99.9,5.464416164
CenterPoint Energy Houston Electric LLC,IOU,CenterPoint Energy Inc,TX,Houston,,ERCOT,ERCOT ISO (Balancing Authority),Not Applicable,F,4914.525205,3,Company Maps; ABB Research,4069574.998,1958896.22,-99.9,-99.9,-99.9,81,795,-99,-99,-99,-99,Not Reported,6,54349,5062671.929
Centerville Municipal Power & Light,Muni,Centerville Municipal Power & Light,IN,Centerville,,Indiana Municipal Power Agency,Midcontinent ISO (Balancing Authority),Indiana Municipal Power Agency,F,0.969305822,4,Previously Mapped Features; ABB Research,2311,228.8881209,-99.9,-99.9,-99.9,81,1733,1349,0,71,1420,"0 to 3,000",1,-99.9,508.9636376
Central Alabama Electric Coop,DistCoop,Central Alabama Electric Coop,AL,Prattville,www.caec.com,PowerSouth Energy Coop,PowerSouth Energy Coop,PowerSouth Energy Coop,F,1926.628065,3,Company Maps; ABB Research,91561.81284,45905.58941,-99.9,-99.9,-99.9,81,1302,41567,3,1827,43397,"3,000 to 100,000",4,-99.9,109704.5114
Central City NE (City of),Muni,Central City NE (City of),NE,Central City,,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Not Applicable,F,1.194422312,4,Previously Mapped Features; ABB Research,2869,142.3279259,-99.9,-99.9,-99.9,81,489,1394,10,290,1694,"0 to 3,000",1,-99.9,296.6746544
Central Electric Coop Inc (OR),DistCoop,Central Electric Coop Inc (OR),OR,Redmond,www.centralelectriccoop.com,Bonneville Power Administration,Bonneville Power Administration,Pacific Northwest Generating Coop,F,4820.869651,3,Company Maps; ABB Research,23200.0563,15034.15913,-99.9,-99.9,-99.9,81,155,30048,1628,2832,34508,"3,000 to 100,000",5,-99.9,27464.39771
Central Electric Coop Inc (PA),DistCoop,Central Electric Coop Inc (PA),PA,Harrisburg,,PJM Interconnection,PJM Interconnection,Allegheny Electric Coop Inc,T,1909.447053,3,Company Maps; ABB Research,208193.3303,98163.95987,-99.9,-99.9,-99.9,81,2826,23365,9,1978,25352,"3,000 to 100,000",6,-99.9,212129.7272
Central Electric Coop Inc (SD),DistCoop,Central Electric Coop Inc (SD),SD,Mitchell,www.centralec.com,WAPA Rocky Mountain Region,WAPA Rocky Mountain Region,East River Electric Power Coop Inc,F,4121.510328,3,Company Maps; ABB Research,24492.4325,11067.1174,-99.9,-99.9,-99.9,81,1623,6385,169,649,7203,"3,000 to 100,000",6,-99.9,24377.69144
