Company Name,Ownership Type,Holding Company Name,State,City,Website,Planning Area Name,Balancing Authority Area Name,Membership Name,Overlap,Area (sq mi),Location Code,Source,Population 2000,Number Of Households,Median Household Income,Household Aggregate Income,Per Capita Income,Layer_ID,Rec_ID,Bundled Residential Customers,Bundled Industrial Customers,Bundled Commercial Customers,Bundled Total Customers,Total Customers Ranges,Color_Code,Distribution Line Miles,Population 2010
Kentucky Power Co,IOU,American Electric Power Co Inc,KY,Ashland,,PJM Interconnection,PJM Interconnection,Not Applicable,F,3785.231751,3,Regional Digital Data; ABB Research,312391.77,138256.83,-99.9,-99.9,-99.9,81,2923,134959,1149,30495,166603,"100,000 to 950,000",4,-99.9,306442.08
Kentucky Utilities Co,IOU,PPL Corp,KY,Louisville,www.eon-us.com/ku/default.asp,Louisville Gas & Electric Co,LG&E & KU Services Co,Not Applicable,F,4740.732191,3,Regional Digital Data; ABB Research,666840.1972,357013.0433,-99.9,-99.9,-99.9,81,2924,454944,2493,95486,552923,"100,000 to 950,000",4,16560,804002.0334
Kenyon Municipal Utilities,Muni,Kenyon Municipal Utilities,MN,Kenyon,www.cityofkenyon.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.251824245,4,Previously Mapped Features; ABB Research,1549,23.25548905,-99.9,-99.9,-99.9,81,1942,837,2,132,971,"0 to 3,000",1,-99.9,54.1800112
Keosauqua Light & Power,Muni,Keosauqua Light & Power,IA,Keosauqua,,Associated Electric Coop Inc,Associated Electric Coop Inc,Not Applicable,F,1.631566618,3,Company Maps; ABB Research,1013,14.66753562,-99.9,-99.9,-99.9,81,102,582,2,188,772,"0 to 3,000",1,-99.9,29.81065114
Kerrville Public Utility Board,Muni,Kerrville Public Utility Board,TX,Kerrville,www.kpub.com,ERCOT,ERCOT ISO (Balancing Authority),Not Applicable,F,4.326641173,4,Previously Mapped Features; ABB Research,4939.969626,2674.784158,-99.9,-99.9,-99.9,81,748,19040,0,3928,22968,"3,000 to 100,000",1,-99.9,6104.11757
Ketchikan Public Utilities,Muni,Ketchikan Public Utilities,AK,Ketchikan,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,T,288.0421887,3,ABB Research,10249.08577,4251.985356,-99.9,-99.9,-99.9,81,2146,6491,16,1331,7838,"3,000 to 100,000",1,-99.9,9521.1454
Keys Energy Services,Muni,Keys Energy Services,FL,Key West,www.keysenergy.com,Florida Municipal Power Agency,Florida Municipal Power Pool,Florida Municipal Power Agency,F,4.320382732,4,Previously Mapped Features; ABB Research,15579.25624,8807.122568,-99.9,-99.9,-99.9,81,1166,25289,0,4439,29728,"3,000 to 100,000",1,-99.9,14964.2214
Kiamichi Electric Coop Inc,DistCoop,Kiamichi Electric Coop Inc,OK,Wilburton,www.kiamichielectric.org,Associated Electric Coop Inc,Associated Electric Coop Inc,Not Applicable,F,2314.517926,3,Company Maps; ABB Research,44084.98034,22621.51347,-99.9,-99.9,-99.9,81,304,19393,4,2411,21808,"3,000 to 100,000",6,-99.9,46933.05884
Kiel WI (City of),Muni,Kiel WI (City of),WI,Kiel,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,30.57264972,4,Previously Mapped Features; ABB Research,5546.400976,2802.746432,-99.9,-99.9,-99.9,81,2428,2336,17,402,2755,"0 to 3,000",1,-99.9,6060.367367
Kimball NE (City of),Muni,Kimball NE (City of),NE,Kimball,,WAPA Rocky Mountain Region,WAPA Rocky Mountain Region,Municipal Energy Agency of Nebraska,F,1.549545853,4,Previously Mapped Features; ABB Research,2565,3.198048484,-99.9,-99.9,-99.9,81,749,1462,10,428,1900,"0 to 3,000",5,-99.9,6.225034772
Kimballton IA (City of),Muni,Kimballton IA (City of),IA,Kimballton,,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.76779569,3,Company Maps; ABB Research,261,2.383097298,-99.9,-99.9,-99.9,81,86,169,0,49,218,0 to 700,6,-99.9,5.212391538
King Cove AK (City of),Muni,King Cove AK (City of),AK,King Cove,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,28.99944576,3,ABB Research,780,3.032668514,-99.9,-99.9,-99.9,81,2865,127,0,307,434,0 to 700,6,-99.9,12.75182303
Kingfisher OK (City of),Muni,Kingfisher OK (City of),OK,Kingfisher,,Oklahoma Municipal Power Authority,Southwest Power Pool (Balancing Authority),Not Applicable,F,1.427612605,4,Previously Mapped Features; ABB Research,4212,104.6722362,-99.9,-99.9,-99.9,81,750,1867,1,434,2302,"0 to 3,000",1,-99.9,243.7002168
Kingman Municipal Electric Dept,Muni,Kingman Municipal Electric Dept,KS,Kingman,http://skyways.lib.ks.us/counties/KM,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Not Applicable,F,3.469517574,3,Previously Mapped Features; ABB Research,764.3201734,397.3045662,-99.9,-99.9,-99.9,81,751,1519,18,357,1894,"0 to 3,000",1,-99.9,826.8576169
Kings Mountain NC (City of),Muni,Kings Mountain NC (City of),NC,Kings Mountain,,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Not Applicable,F,3.547063228,4,Previously Mapped Features; ABB Research,2760.09345,1233.344544,-99.9,-99.9,-99.9,81,752,4158,25,737,4920,"3,000 to 100,000",1,-99.9,2731.699727
Kingsbury Electric Coop Inc,DistCoop,Kingsbury Electric Coop Inc,SD,De Smet,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),East River Electric Power Coop Inc,F,677.1350646,3,Company Maps; ABB Research,4561.227232,2130.645687,-99.9,-99.9,-99.9,81,1579,843,12,9,864,"0 to 3,000",4,-99.9,4036.870715
Kingsford Heights IN (Town of),Muni,Kingsford Heights IN (Town of),IN,Kingsford Heights,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Indiana Municipal Power Agency,F,0.934934296,4,Previously Mapped Features; ABB Research,1388,22.25601196,-99.9,-99.9,-99.9,81,2019,562,0,48,610,0 to 700,1,-99.9,58.11051225
Kingsport Power Co,IOU,American Electric Power Co Inc,TN,Kingsport,,PJM Interconnection,PJM Interconnection,Not Applicable,F,53.50988485,3,ABB Research,15929.77737,8539.317589,-99.9,-99.9,-99.9,81,2779,41895,164,5973,48032,"3,000 to 100,000",1,-99.9,18526.72531
Kingston Hydro,Muni,Kingston (City of),,,http://www.kingstonhydro.com,Not Applicable,Not Applicable,Not Applicable,F,12.09164017,4,ABB Research,-99,-99,-99.9,-99.9,-99.9,81,3031,-99,-99,-99,-99,Not Reported,5,-99.9,-99
Kinston NC (City of),Muni,Kinston NC (City of),NC,Kinston,www.ci.kinston.nc.us,Progress Energy Carolina,Duke Energy Progress East,Not Applicable,F,9.186207058,4,Previously Mapped Features; ABB Research,13852.48037,6172.65259,-99.9,-99.9,-99.9,81,753,9954,12,1898,11864,"3,000 to 100,000",3,-99.9,12006.84599
Kiowa KS (City of),Muni,Kiowa KS (City of),KS,Kiowa,,Western Farmers Electric Coop,Southwest Power Pool (Balancing Authority),Not Applicable,F,1.054726168,3,Previously Mapped Features; ABB Research,1002,1.609651475,-99.9,-99.9,-99.9,81,754,547,26,157,730,"0 to 3,000",1,-99.9,2.74869127
Kirbyville Light & Power Co,Muni,Kirbyville Light & Power Co,TX,Kirbyville,,Entergy Services Inc,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.643885352,4,Previously Mapped Features; ABB Research,1932,116.5176377,-99.9,-99.9,-99.9,81,755,902,0,448,1350,"0 to 3,000",1,-99.9,257.9802006
Kirkwood MO (City of),Muni,Kirkwood MO (City of),MO,Kirkwood,www.ci.kirkwood.mo.us/electric/Electric.htm,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Missouri Joint Municipal Electric Utility Commission,F,9.299250455,4,Previously Mapped Features; ABB Research,24119.74483,12223.58859,-99.9,-99.9,-99.9,81,1763,8764,1,1260,10025,"3,000 to 100,000",1,-99.9,26391.82673
Kissimmee Utility Authority,Muni,Kissimmee Utility Authority,FL,Kissimmee,www.kua.com,Florida Municipal Power Agency,Florida Municipal Power Pool,Florida Municipal Power Agency,F,2.310053127,4,Previously Mapped Features; ABB Research,4326.513016,2217.246249,-99.9,-99.9,-99.9,81,756,64042,51,9875,73968,"3,000 to 100,000",6,-99.9,5374.931148
Kit Carson Electric Coop Inc,DistCoop,Kit Carson Electric Coop Inc,NM,Taos,www.kitcarson.com,Public Service Co of New Mexico,Public Service Co of New Mexico,Tri State Generation & Transmission Association Inc,F,3310.578795,3,Company Maps; ABB Research,33189.81168,22148.86947,-99.9,-99.9,-99.9,81,317,24598,10,4376,28984,"3,000 to 100,000",1,-99.9,36177.53525
Kitchener Wilmot Hydro Inc,Private,Kitchener Power Corp,,,http://www.kwhydro.on.ca,Not Applicable,Not Applicable,Not Applicable,F,156.4637182,3,ABB Research,-99,-99,-99.9,-99.9,-99.9,81,3032,-99,-99,-99,-99,Not Reported,6,-99.9,-99
Knightstown IN (Town of),Muni,Knightstown IN (Town of),IN,Knightstown,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Indiana Municipal Power Agency,F,0.801283637,4,Previously Mapped Features; ABB Research,1988,45.20954366,-99.9,-99.9,-99.9,81,757,1347,13,380,1740,"0 to 3,000",1,-99.9,104.7640327
Knoxville Utilities Board,Muni,Knoxville Utilities Board,TN,Knoxville,www.kub.org,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,588.7775025,3,ABB Research,386122.17,197356.9257,-99.9,-99.9,-99.9,81,2323,179583,29,23959,203571,"100,000 to 950,000",3,-99.9,437772.8253
Kodiak Electric Association Inc,DistCoop,Kodiak Electric Association Inc,AK,Kodiak,www.kodiakelectric.com,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,131.2536238,3,ABB Research,10142.82368,3782.933592,-99.9,-99.9,-99.9,81,2143,4797,107,1044,5948,"3,000 to 100,000",2,-99.9,10318.54313
Kokhanok Village Council,PSubdiv,Kokhanok Village Council,AK,Kokhanok,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,20.92614148,3,ABB Research,-99,1.201169197,-99.9,-99.9,-99.9,81,2118,59,0,22,81,0 to 700,5,-99.9,1.304332197
Kootenai Electric Coop Inc,DistCoop,Kootenai Electric Coop Inc,ID,Hayden Lake,www.kec.com,Avista Corp,Avista Corp,Not Applicable,T,1677.414809,3,Company Maps; ABB Research,112211.5377,65304.07091,-99.9,-99.9,-99.9,81,1665,23727,45,1776,25548,"3,000 to 100,000",2,-99.9,142644.4781
Kosciusko County REMC,DistCoop,Kosciusko County REMC,IN,Warsaw,www.kosciuskoremc.com,Wabash Valley Power Association,Midcontinent ISO (Balancing Authority),Wabash Valley Power Association Inc,F,409.3215748,3,Company Maps; ABB Research,39306.72228,20221.74619,-99.9,-99.9,-99.9,81,1653,16946,1379,0,18325,"3,000 to 100,000",1,-99.9,43916.85916
Kosciusko MS (City of),Muni,Kosciusko MS (City of),MS,Kosciusko,www.cityofkosciusko.com,Entergy Services Inc,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.26284117,4,Previously Mapped Features; ABB Research,892.23919,684.7073772,-99.9,-99.9,-99.9,81,758,2424,22,669,3115,"3,000 to 100,000",1,-99.9,1606.499023
Kotlik AK (City of),Muni,Kotlik AK (City of),AK,Kotlik,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,4.628549351,3,ABB Research,515,0.562491375,-99.9,-99.9,-99.9,81,2866,-99,-99,-99,-99,Not Reported,1,-99.9,1.921952892
Kotzebue Electric Association Inc,DistCoop,Kotzebue Electric Association Inc,AK,Kotzebue,www.kotzelectric.com,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,1.639266495,3,ABB Research,2936,7.619485779,-99.9,-99.9,-99.9,81,2140,1154,0,131,1285,"0 to 3,000",4,-99.9,20.93559998
Kuiggluum Kallugvia,Private,Kuiggluum Kallugvia,AK,Kwethluk,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,3.514208631,4,ABB Research,1.381042533,0.432673601,-99.9,-99.9,-99.9,81,3079,187,0,41,228,0 to 700,2,-99.9,1.462760697
Kutztown PA (Borough of),Muni,Kutztown PA (Borough of),PA,Kutztown,,PJM Interconnection,PJM Interconnection,American Municipal Power Inc,F,0.910884008,4,Previously Mapped Features; ABB Research,1939.212494,791.5274578,-99.9,-99.9,-99.9,81,2792,2164,5,307,2476,"0 to 3,000",1,-99.9,1868.462288
Kwig Power Co,PSubdiv,Kwig Power Co,AK,Kwigillingok,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,20.56052301,3,ABB Research,-99,2.531503447,-99.9,-99.9,-99.9,81,2940,88,6,28,122,0 to 700,4,-99.9,8.558376894
Kyuquot Power Ltd,IOU,Synex Intl,,,,Not Applicable,Not Applicable,Not Applicable,F,3.556102614,4,ABB Research,0,-99,-99.9,-99.9,-99.9,81,3091,-99,-99,-99,-99,Not Reported,1,-99.9,-99
L Anse MI (Village of),Muni,L Anse MI (Village of),MI,Lanse,www.infomi.com/city/lanse/index.html,WPPI Energy,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.544466842,3,ABB Research,-99,15.54697301,-99.9,-99.9,-99.9,81,2887,987,0,196,1183,"0 to 3,000",4,-99.9,24.78366495
La Crosse KS (City of),Muni,La Crosse KS (City of),KS,La Crosse,http://skyways.lib.ks.us/towns/LaCrosse,Wabash Valley Power Association,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.997979054,3,Previously Mapped Features; ABB Research,1195,11.28975137,-99.9,-99.9,-99.9,81,759,678,15,207,900,"0 to 3,000",1,-99.9,21.07555746
La Farge Municipal Electric Co,Muni,La Farge Municipal Electric Co,WI,La Farge,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,1.050208591,4,Previously Mapped Features; ABB Research,806,13.74107547,-99.9,-99.9,-99.9,81,1943,453,6,210,669,0 to 700,1,-99.9,31.70900878
La Fayette GA (City of),Muni,La Fayette GA (City of),GA,La Fayette,,Southern Co Services,Southern Co Services Inc,Not Applicable,F,1.909860572,4,Previously Mapped Features; ABB Research,1402.278057,688.8952259,-99.9,-99.9,-99.9,81,760,3512,98,474,4084,"3,000 to 100,000",4,-99.9,1493.905609
La Grange NC (Town of),Muni,La Grange NC (Town of),NC,La Grange,,Progress Energy Carolina,Duke Energy Progress East,Not Applicable,F,0.962031152,4,Previously Mapped Features; ABB Research,2936,55.54205334,-99.9,-99.9,-99.9,81,761,1482,0,219,1701,"0 to 3,000",1,-99.9,121.1599514
La Grange TX (City of),Muni,La Grange TX (City of),TX,La Grange,,ERCOT,ERCOT ISO (Balancing Authority),Not Applicable,F,0.884738958,4,Previously Mapped Features; ABB Research,4215,155.774431,-99.9,-99.9,-99.9,81,762,2454,82,442,2978,"0 to 3,000",1,-99.9,336.8158456
La Harpe KS (City of),Muni,La Harpe KS (City of),KS,La Harpe,,Westar Energy,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.822012907,4,Previously Mapped Features; ABB Research,683,8.758326529,-99.9,-99.9,-99.9,81,1764,259,4,19,282,0 to 700,2,-99.9,19.13628329
La Junta Municipal Utilities,Muni,La Junta Municipal Utilities,CO,La Junta,,Tri State G & T Association Inc,WAPA Rocky Mountain Region,Not Applicable,F,2.660388858,3,Previously Mapped Features; ABB Research,4526.873365,2032.101283,-99.9,-99.9,-99.9,81,763,2296,48,1440,3784,"3,000 to 100,000",1,-99.9,4286.774474
La Plata Electric Association Inc,DistCoop,La Plata Electric Association Inc,CO,Durango,www.lpea.com,Tri State G & T Association Inc,WAPA Rocky Mountain Region,Tri State Generation & Transmission Association Inc,F,3470.090228,3,Company Maps; ABB Research,54023.11393,35062.94533,-99.9,-99.9,-99.9,81,3116,36640,199,6498,43337,"3,000 to 100,000",3,-99.9,63576.35431
La Plata MO (City of),Muni,La Plata MO (City of),MO,La Plata,,Associated Electric Coop Inc,Associated Electric Coop Inc,Missouri Joint Municipal Electric Utility Commission,F,1.227089819,4,Previously Mapped Features; ABB Research,1328,11.87352522,-99.9,-99.9,-99.9,81,1765,590,0,163,753,"0 to 3,000",1,-99.9,23.43721642
La Porte City Utilities,Muni,La Porte City Utilities,IA,La Porte City,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.708732199,4,Previously Mapped Features; ABB Research,2077,86.48141935,-99.9,-99.9,-99.9,81,1413,994,0,185,1179,"0 to 3,000",1,-99.9,199.9274069
Laclede Electric Coop Inc,DistCoop,Laclede Electric Coop Inc,MO,Lebanon,www.lacledeelectric.com,Associated Electric Coop Inc,Associated Electric Coop Inc,Sho ME Power Electric Coop,F,1931.011091,3,Company Maps; ABB Research,75518.39302,36481.47344,-99.9,-99.9,-99.9,81,1677,33748,17,3299,37064,"3,000 to 100,000",1,-99.9,89555.60498
Lacreek Electric Association Inc,DistCoop,Lacreek Electric Association Inc,SD,Martin,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Rushmore Electric Power Coop Inc,F,5152.486809,3,Company Maps; ABB Research,17972.10485,6096.783045,-99.9,-99.9,-99.9,81,1324,5845,132,752,6729,"3,000 to 100,000",4,-99.9,19950.62242
Ladd IL (Village of),Muni,Ladd IL (Village of),IL,Ladd,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.445184295,4,Previously Mapped Features; ABB Research,1228,45.97897396,-99.9,-99.9,-99.9,81,764,574,1,53,628,0 to 700,1,-99.9,105.0080857
Ladoga IN (Town of),Muni,Ladoga IN (Town of),IN,Ladoga,,Indiana Municipal Power Agency,Midcontinent ISO (Balancing Authority),Indiana Municipal Power Agency,F,0.532758095,4,Previously Mapped Features; ABB Research,1184,10.9598666,-99.9,-99.9,-99.9,81,2020,509,0,116,625,0 to 700,1,-99.9,25.26675833
Lafayette AL (City of),Muni,Lafayette AL (City of),AL,La Fayette,,Alabama Power Co,Southern Co Services Inc,Alabama Municipal Electric Authority,T,1.084362706,4,Previously Mapped Features; ABB Research,-99,13.03400458,-99.9,-99.9,-99.9,81,1518,1300,22,217,1539,"0 to 3,000",4,-99.9,27.58609221
Lafayette Utilities System,Muni,Lafayette Utilities System,LA,Lafayette,www.lus.org,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,23.70190939,4,Previously Mapped Features; ABB Research,57852.81459,28759.69908,-99.9,-99.9,-99.9,81,765,55536,0,11708,67244,"3,000 to 100,000",1,-99.9,63890.16967
Lafollette Electric Dept (City of),DistCoop,La Follette Electric Dept,TN,La Follette,www.lub.org,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,132.5450533,4,Previously Mapped Features; ABB Research,6127.527324,3091.425321,-99.9,-99.9,-99.9,81,2768,19144,3,3033,22180,"3,000 to 100,000",5,-99.9,6873.718019
LaGrange County REMC,DistCoop,LaGrange County REMC,IN,LaGrange,www.lagrangeremc.com,Wabash Valley Power Association,Midcontinent ISO (Balancing Authority),Wabash Valley Power Association Inc,F,187.2274042,3,Company Maps; ABB Research,16017.78984,6879.483099,-99.9,-99.9,-99.9,81,253,6759,250,202,7211,"3,000 to 100,000",3,-99.9,16984.7787
LaGrange GA (City of),Muni,La Grange GA (City of),GA,Lagrange,,Southern Co Services,Southern Co Services Inc,Not Applicable,F,29.98758929,3,ABB Research,13679.21657,7463.397804,-99.9,-99.9,-99.9,81,2872,11319,56,1835,13210,"3,000 to 100,000",2,-99.9,17517.9771
Lake City Water & Light,Muni,Lake City Water & Light,MN,Lake City,www.lakecitygov.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,1.341932985,4,Previously Mapped Features; ABB Research,4630,342.9865783,-99.9,-99.9,-99.9,81,766,2870,7,359,3236,"3,000 to 100,000",1,-99.9,675.8468683
Lake Country Power,DistCoop,Lake Country Power,MN,Grand Rapids,www.lakecountrypower.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Great River Energy,F,10048.76899,3,Company Maps; ABB Research,138802.1599,91062.46536,-99.9,-99.9,-99.9,81,2745,45594,2,3777,49373,"3,000 to 100,000",5,-99.9,145137.8165
Lake Crystal MN (City of),Muni,Lake Crystal MN (City of),MN,Lake Crystal,www.ci.lake-crystal.mn.u,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Heartland Consumers Power District,F,0.666881546,4,Previously Mapped Features; ABB Research,2074,21.21120679,-99.9,-99.9,-99.9,81,767,1034,0,177,1211,"0 to 3,000",1,-99.9,47.4041541
Lake Mills IA (City of),Muni,Lake Mills IA (City of),IA,Lake Mills,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.83263075,4,Previously Mapped Features; ABB Research,2187,33.97163211,-99.9,-99.9,-99.9,81,1414,1070,24,154,1248,"0 to 3,000",1,-99.9,70.93824439
Lake Mills WI (City of),Muni,Lake Mills WI (City of),WI,Lake Mills,www.ci.lake-mills.wi.us/,WPPI Energy,Midcontinent ISO (Balancing Authority),Not Applicable,F,3.810413278,3,ABB Research,1979.830166,1106.20642,-99.9,-99.9,-99.9,81,2356,3741,0,450,4191,"3,000 to 100,000",1,-99.9,2301.075231
Lake Park Municipal Utilities,Muni,Lake Park Municipal Utilities,IA,Lake Park,,Missouri River Energy Services,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.047185642,4,Previously Mapped Features; ABB Research,1028,12.43862598,-99.9,-99.9,-99.9,81,1415,647,17,92,756,"0 to 3,000",1,-99.9,24.31946604
Lake Park Public Utilities,Muni,Lake Park Public Utilities,MN,Lake Park,,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.925803568,4,Previously Mapped Features; ABB Research,644,12.27758138,-99.9,-99.9,-99.9,81,1944,432,0,109,541,0 to 700,1,-99.9,16.00119494
Lake Placid Village Inc,Muni,Lake Placid Village Inc,NY,Lake Placid,,New York Independent System Operator Inc,New York ISO (Balancing Authority),Not Applicable,F,1.482408175,4,Previously Mapped Features; ABB Research,2362,57.85589043,-99.9,-99.9,-99.9,81,2245,4025,0,779,4804,"3,000 to 100,000",1,-99.9,93.54910386
Lake Region Coop Electrical Association,DistCoop,Lake Region Electric Coop,MN,Pelican Rapids,www.lakeregionelectric.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Great River Energy,F,2675.513829,3,Company Maps; ABB Research,50250.87995,31967.90933,-99.9,-99.9,-99.9,81,1647,25669,666,1970,28305,"3,000 to 100,000",3,-99.9,52920.60144
Lake Region Electric Association Inc,DistCoop,Lake Region Electric Association Inc,SD,Webster,www.lakeregion.coop,WAPA Rocky Mountain Region,WAPA Rocky Mountain Region,East River Electric Power Coop Inc,F,1472.172054,3,Company Maps; ABB Research,6475.863345,3831.990581,-99.9,-99.9,-99.9,81,1654,3310,7,147,3464,"3,000 to 100,000",3,-99.9,6747.004979
Lake Region Electric Coop Inc,DistCoop,Lake Region Electric Coop Inc,OK,Hulbert,www.lrecok.coop,Associated Electric Coop Inc,Associated Electric Coop Inc,KAMO Electric Coop Inc,F,1309.968216,3,Company Maps; ABB Research,100934.4519,50260.59921,-99.9,-99.9,-99.9,81,1180,22931,126,1604,24661,"3,000 to 100,000",4,-99.9,117443.9396
Lake View IA (City of),Muni,Lake View IA (City of),IA,Lake View,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,54.30184316,3,Company Maps; ABB Research,763.4678884,560.8245285,-99.9,-99.9,-99.9,81,104,937,29,425,1391,"0 to 3,000",1,-99.9,919.61255
Lake Worth Utilities,Muni,Lake Worth Utilities,FL,Lake Worth,www.lakeworth.org/departments/utilities/utilities.htm,Florida Municipal Power Agency,Florida Municipal Power Pool,Florida Municipal Power Agency,F,6.53179467,4,Previously Mapped Features; ABB Research,32991.51558,15812.25211,-99.9,-99.9,-99.9,81,1720,23399,0,3746,27145,"3,000 to 100,000",1,-99.9,33973.40455
Lakefield MN (City of),Muni,Lakefield MN (City of),MN,Lakefield,www.lakefieldmn.com,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.646071138,4,Previously Mapped Features; ABB Research,1645,5.928856239,-99.9,-99.9,-99.9,81,768,857,0,153,1010,"0 to 3,000",4,-99.9,11.86921768
Lakefront Utilities Inc,Muni,Cobourg Holdings Inc (Town of),,,http://www.lakefrontutilities.on.ca,Not Applicable,Not Applicable,Not Applicable,F,6.98427462,4,ABB Research,-99,-99,-99.9,-99.9,-99.9,81,3033,-99,-99,-99,-99,Not Reported,1,-99.9,-99
Lakeland Dept of Electric Water Utilities,Muni,Lakeland Dept of Electric Water Utilities,FL,Lakeland,www.lakelandelectric.com,Lakeland Dept of Electric Water Utilities,Florida Municipal Power Pool,Florida Municipal Power Agency,F,241.6126293,4,Previously Mapped Features; ABB Research,192530.3464,101485.2525,-99.9,-99.9,-99.9,81,1416,109044,81,21534,130659,"100,000 to 950,000",1,-99.9,228163.7059
Lakeland Power Distribution Ltd,Muni,Lakeland Holding Ltd,,,http://www.lakelandpower.on.ca,Not Applicable,Not Applicable,Not Applicable,F,47.5995093,3,ABB Research,-99,-99,-99.9,-99.9,-99.9,81,3034,-99,-99,-99,-99,Not Reported,2,-99.9,-99
Lakeview Board Trust Public Affs,Muni,Lakeview Board Trust Public Affs,OH,Lakeview,,American Municipal Power OH,PJM Interconnection,American Municipal Power Inc,F,0.393543823,3,ABB Research,1068,100.1391596,-99.9,-99.9,-99.9,81,2548,999,24,149,1172,"0 to 3,000",1,-99.9,125.4633128
Lakeview Light & Power,DistCoop,Lakeview Light & Power,WA,Lakewood,http://lakeviewlight.com/,Bonneville Power Administration,Bonneville Power Administration,Not Applicable,F,6.869506816,3,ABB Research,18883.17657,10401.20364,-99.9,-99.9,-99.9,81,2294,7922,53,2122,10097,"3,000 to 100,000",6,-99.9,22710.26835
Lakin KS (City of),Muni,Lakin KS (City of),KS,Lakin,http://skyways.lib.ks.us/towns/Lakin,Sunflower Electric Power Corp,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.921845517,3,Previously Mapped Features; ABB Research,2160,1.647864583,-99.9,-99.9,-99.9,81,769,922,0,148,1070,"0 to 3,000",1,-99.9,4.211797845
Lakota ND (City of),Muni,Lakota ND (City of),ND,Lakota,,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.327518478,4,Previously Mapped Features; ABB Research,765,0.627437544,-99.9,-99.9,-99.9,81,770,400,6,144,550,0 to 700,1,-99.9,1.017835891
Lamar County Electric Coop Association,DistCoop,Lamar County Electric Coop Association,TX,Paris,www.lamarelectric.com,ERCOT,ERCOT ISO (Balancing Authority),Rayburn Country Electric Coop Inc,F,703.5045741,3,Company Maps; ABB Research,9018.189376,5511.420046,-99.9,-99.9,-99.9,81,290,11809,0,791,12600,"3,000 to 100,000",4,-99.9,11269.73019
Lamar MO (City of),Muni,Lamar MO (City of),MO,Lamar,www.cityoflamar.org,Associated Electric Coop Inc,Associated Electric Coop Inc,Missouri Joint Municipal Electric Utility Commission,F,1.856324985,4,Previously Mapped Features; ABB Research,4261,238.4317506,-99.9,-99.9,-99.9,81,771,1989,13,451,2453,"0 to 3,000",1,-99.9,518.4402207
Lamar Utilities Board,Muni,Lamar Utilities Board,CO,Lamar,,Tri State G & T Association Inc,WAPA Rocky Mountain Region,Not Applicable,F,4.181759319,3,Previously Mapped Features; ABB Research,1096.207725,2888.044302,-99.9,-99.9,-99.9,81,1164,3151,80,1028,4259,"3,000 to 100,000",2,-99.9,6128.123362
